ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178421.699,1880016.742,41.826074,-87.620914
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178423.706,1879940.087,41.825864,-87.620909
ANDERSON (LOUIS),1020,GYMNASIUM,INDOOR,1178429.875,1880090.423,41.826276,-87.620882
ANDERSON (LOUIS),1020,PLAYGROUND,OUTDOOR,1178496.749,1879958.548,41.825913,-87.62064
ANDERSON (LOUIS),1020,SPRAY FEATURE,OUTDOOR,1178494.742,1879904.769,41.825765,-87.620649
ANDERSONVILLE,1078,PLAYGROUND PARK,OUTDOOR,1164812.558,1934962.867,41.977149,-87.669282
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147334.572,1871246.456,41.802658,-87.73519
ARCHER (WILLIAM BEATTY),250,BASKETBALL COURT,OUTDOOR,1147443.936,1871687.275,41.803866,-87.734778
ARCHER (WILLIAM BEATTY),250,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1147413.876,1872098.32,41.804994,-87.734878
ARCHER (WILLIAM BEATTY),250,FITNESS CENTER,INDOOR,1147357.011,1871551.412,41.803494,-87.7351
ARCHER (WILLIAM BEATTY),250,GYMNASIUM,INDOOR,1147336.94,1871579.844,41.803573,-87.735173
ARCHER (WILLIAM BEATTY),250,HORSESHOE COURT,OUTDOOR,1147674.601,1871207.758,41.802545,-87.733944
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147585.267,1872001.906,41.804726,-87.734252
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147581.902,1872138.189,41.8051,-87.734261
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147280.732,1872309.806,41.805577,-87.735361
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147524.696,1871406.295,41.803093,-87.734489
ARCHER (WILLIAM BEATTY),250,PLAYGROUND,OUTDOOR,1147593.68,1871594.737,41.803609,-87.734231
